id,source_doc,source_passage,claim_kk,claim_type,what_changed,ground_truth,gemini_label,deepseek_label,claude_label,kimi_label,qwen_label,correct?
020,leg_text01,N/A,Әкімдер тоқсан сайын Орталық коммуникациялар қызметінде есеп беруге тиісті,fake_invented,N/A,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,
021,news_text1,"2026 жылғы 13 шілдеде мемлекет басшысы Премьер-министр Олжас Бектеновті қабылдады. Қасым-Жомарт Тоқаев Қазақстан Республикасының биылғы қаңтар-маусым айларындағы әлеуметтік-экономикалық даму қорытындылары туралы есепті тыңдап, экономиканы одан әрі әртараптандыру жоспарымен танысты.",Тоқаев Бектеновпен 13 маусымда кездесті.,fake_number,«13 шілдеде» → «13 маусымда» (ай ауыстырылды),REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,
022,news_text1,"Премьер-министр бірінші жартыжылдық қорытындысы бойынша ішкі жалпы өнім көлемі 4,1 пайызға өскенін баяндады.",Бірінші жартыжылдық қорытындысы бойынша ішкі жалпы өнім өспеді.,fake_entity,"Премьер-министр бірінші жартыжылдық қорытындысы бойынша ішкі жалпы өнім көлемі 4,1 пайызға өскенін баяндады.",REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,
023,news_text1,"Премьер-министр бірінші жартыжылдық қорытындысы бойынша ішкі жалпы өнім көлемі 4,1 пайызға өскенін баяндады. Экономика құрылымындағы өңдеу өнеркәсібінің үлесі – 9,8 пайызға, көлік саласы – 7,1 пайызға, құрылыс 15,2 пайызға артты. Сондай-ақ сауда-саттықта – 5,7 пайыз, ауыл шаруашылығында – 4,4 пайыз және байланыс қызметінде 4,3 пайыз өсім тіркелді. Негізгі капиталға тартылған инвестиция көлемі 9,5 триллион теңгені құрады, соның ішінде жеке инвестиция 21,4 пайызға ұлғайды.","Негізгі капиталға тартылған инвестиция 5,5 триллион теңгені құрады",fake_number,"Негізгі капиталға тартылған инвестиция көлемі 9,5 триллион теңгені құрады",REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,
024,news_text1,"Биыл өңдеу секторында 1,7 триллион теңгеге 200 инвестициялық жоба іске қосылып, 17 мың жұмыс орны ашылады. Үкімет басшысы ірі автожол жобаларының жүзеге асырылу барысы, Астана қаласындағы екінші әуежайдың құрылысын және Tarlan Astana көлік жүйесінің келесі кезеңін жоспарлау туралы айтты.",Осы жылы 200 инвестициялық жоба жүзеге асырылады,real,N/A,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,
025,news_text1,N/A,Бектеновтың айтуы бойынша Астанада үшінші теміржол вокзалы салынатын болады,fake_invented,N/A,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,REFUTED,
026,news_text1,"Биыл өңдеу секторында 1,7 триллион теңгеге 200 инвестициялық жоба іске қосылып, 17 мың жұмыс орны ашылады. Үкімет басшысы ірі автожол жобаларының жүзеге асырылу барысы, Астана қаласындағы екінші әуежайдың құрылысын және Tarlan Astana көлік жүйесінің келесі кезеңін жоспарлау туралы айтты.",Астанада 2-ші әуежайды салу көзделуде,real,N/A,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,
027,news_text1,"Пайдалануға берілетін тұрғын үй көлемі 20 миллион шаршы метрге жетпек. Ауыл шаруашылығындағы өндіріс көрсеткіші 15 триллион теңгені құрап, егістік алқаптары 23,8 миллион гектарға дейін ұлғайды.",Пайдалануға берілетін тұрғын үй көлемі 20 миллион квадрат метрге жетпек,real,N/A,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,
028,news_text1,"Шаруаларды қолдауға 1 триллион теңге бөлінді. Бұл ретте бюджеттің әр теңгесі 6,5 теңге жеке инвестиция тартуға септігін тигізді.","Бюджеттен шаруаларға бөлінген 6,5 теңгесі бір теңге жеке инвестиция тартуға септігін тигізді.",fake_causal,"Бұл ретте бюджеттің әр теңгесі 6,5 теңге жеке инвестиция тартуға септігін тигізді.",REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,
029,news_text1,"Мемлекет басшысына Халықтың табысын арттыру жөніндегі кешенді жоспардың іске асырылуы және инфляцияны төмендету шаралары туралы ақпарат берілді. Маусым айында жылдық инфляция деңгейі 10,3 пайызды құрады.","Маусым айында жылдық инфляция 10,3 процент болды.",real,N/A,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,
030,news_text1,"Президентке әлеуметтік және көші-қон саясатын жетілдіру нәтижелері туралы баяндалды, сондай-ақ жұмысқа орналасуға ынталандыру арқылы әлеуметтік қолдау тетіктерінің тиімділігін арттыру тәсілдері таныстырылды. Кейбір әлеуметтік төлемдерді оңтайландыру нәтижесінде жылына 800 миллиард теңгеден аса қаржы үнемделеді.",Кейбір әлеуметтік төлемдерді азайту нәтижесінде жылына 801 миллиард теңгеден аса қаржы үнемделеді.,fake_number,Кейбір әлеуметтік төлемдерді оңтайландыру нәтижесінде жылына 800 миллиард теңгеден аса қаржы үнемделеді.,REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,
031,news_text1,Олжас Бектенов «Деректерді өңдеу орталығы алқабы» жобасын іске асыру мақсатында әлемдік ІТ көшбасшыларымен бірге қуаты 250 МВт болатын инфрақұрылым жасақталатынын айтты.,Қуаты 250 МВт болатын инфрақұрылымды жасақтау үшін «Деректерді өңдеу орталығы алқабы» жобасы іске қосылады.,fake_causal,Олжас Бектенов «Деректерді өңдеу орталығы алқабы» жобасын іске асыру мақсатында әлемдік ІТ көшбасшыларымен бірге қуаты 250 МВт болатын инфрақұрылым жасақталатынын айтты.,REFUTED,SUPPORTED,SUPPORTED,SUPPORTED,REFUTED,SUPPORTED,
032,news_text1,"Кездесуде жылыту маусымына дайындық мәселесіне айрықша назар аударылды. Өткен маусымның қорытындысы бойынша бес жылу электр орталығы аса жоғары тәуекелдің «қызыл» аймағынан шығарылып, үш ЖЭО «жасыл» аймаққа ауыстырылды. Биылғы жөндеу жұмыстары 9 энергия блогын, 55 қазандықты және 51 турбинаны қамтиды. Аталған мақсатқа 384 миллиард теңге бөлінген. «Энергетикалық және коммуналдық секторларды жаңғырту» ұлттық жобасы аясында жыл соңына дейін 12 мың шақырым инженерлік желі жөнделеді.","Бес жылу электр орталығы тәуекелдің «қызыл» аймағынан шығарылып, үш ЖЭО «жасыл» аймаққа өтті",real,N/A,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,
033,news_text1,Алматы тау кластерін дамыту туризм саласының ІЖӨ құрылымындағы үлесін арттырады.,Туризм саласының ІЖӨ құрылымындағы үлесінің артуы Алматы тау кластерін дамытуды шапшаңдатады.,fake_causal,Алматы тау кластерін дамыту туризм саласының ІЖӨ құрылымындағы үлесін арттырады.,REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,
034,news_text1,N/A,"Президент халық коньки тебетін ""Медеу"" алқабын қайта құруға қаражат бөлуге тапсырма берді.",fake_invented,N/A,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,
035,news_text1,Almaty SuperSki жобасының құрылысы жандана түсті: 60 шақырым трасса құрылысы аяқталғанда тәулігіне 10 мың адамға дейін қызмет көрсетуге мүмкіндік туады.,"Almaty SuperSki жобасы бойынша тәулігіне 10 мың адам қызмет алса, 60 шағырым трасса аяқталатын болады.",fake_causal,60 шақырым трасса құрылысы аяқталғанда тәулігіне 10 мың адамға дейін қызмет көрсетуге мүмкіндік туады,REFUTED,REFUTED,SUPPORTED,REFUTED,REFUTED,REFUTED,
036,news_text1,N/A,Бектенов Тоқаевқа жаңа стадион салу туралы ұсыныс жасады.,fake_invented,N/A,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,
037,news_text1,Нысанды пайдалануға беру 2028 жылдың желтоқсан айына жоспарланған. Еліміз «Болашақ ойындары-2026» жарыстарын өткізуге дайын.,Қазақстан «Ескі Қазақстан ойындары-2026» жарыстарын өткізуге дайын.,fake_entity,Еліміз «Болашақ ойындары-2026» жарыстарын өткізуге дайын.,REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,
038,news_text1,"Биылғы жөндеу жұмыстары 9 энергия блогын, 55 қазандықты және 51 турбинаны қамтиды. Аталған мақсатқа 384 миллиард теңге бөлінген.",Осы жылғы жөндеу жұмыстары 11 энергия блогын қамтиды.,fake_number,"Биылғы жөндеу жұмыстары 9 энергия блогын, 55 қазандықты және 51 турбинаны қамтиды.",REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,REFUTED,
039,news_text1,N/A,Кездесу соңында Президент пен Премьер-Министр фотосуретке түсті.,fake_invented,N/A,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,
040,news_text1,"Мемлекет басшысы жаңа Конституцияға сай қабылданып жатқан шаралар туралы хабардар болды. Заңнаманы Ата заңға сәйкестендіру, «Әділетті Қазақстан» және «Заң мен тәртіп» қағидаттарын нығайту, әлеуметтік саясатты жетілдіру, Алатау қаласын қарқынды дамыту үшін құқықтық негіз қалыптастыру, сондай-ақ «Таза Қазақстан» бастамасын ілгерілету бойынша жұмыстар жүргізілуде.",Бектенов Президентке жаңа Конституцияға байланысты қабылданып жатқан іс-әрекеттер туралы баяндады.,real,N/A,SUPPORTED,NOT_ENOUGH_INFO,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,
041,news_text1,N/A,"Кездесу барысында Бектенов ауырып жатқанын айтып, Тоқаевтан еңбек демалысына жіберуді өтінді",fake_invented,N/A,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,
